A,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
          Bisayan languages,0,0,0,5,5,10,40,0,25,0,15,20,0,35,10,0,0,0,15,20,5,0,205,630
          Bosnian,0,10,0,5,5,0,0,0,5,5,0,0,5,10,0,0,0,0,0,0,5,5,50,305
          Bulgarian,0,40,0,15,0,5,5,0,0,5,10,10,5,0,0,0,0,0,0,0,30,0,120,505
          Burmese,0,0,0,0,0,15,35,0,10,0,0,10,0,25,0,0,0,0,15,0,0,0,105,260
          Cantonese,615,710,370,275,710,3005,3555,515,2135,160,1360,305,930,4445,860,215,185,1005,1530,3620,130,130,26765,54480
"          Chinese, n.o.s.",810,765,485,240,420,1430,1750,570,1095,220,1155,205,780,2290,475,280,150,535,815,1685,205,230,16580,40940
          Creoles,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,30,150
          Croatian,0,25,5,15,15,35,15,0,5,5,5,5,10,40,5,0,5,5,5,20,20,0,250,1085
          Czech,5,5,0,15,5,0,0,0,0,5,10,10,5,0,5,0,0,0,0,5,30,0,90,495
          Danish,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,25,95
          Dutch,0,10,5,10,0,5,0,0,0,10,5,0,5,0,10,5,0,5,5,0,10,5,75,390
          Estonian,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,65
          Finnish,0,5,5,5,0,10,5,0,10,10,0,0,0,0,0,0,0,0,0,5,5,5,60,260
          Flemish,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
          Fukien,0,0,0,0,5,5,15,10,5,0,10,0,0,20,10,0,5,0,5,0,0,0,95,370
          German,15,60,35,35,20,5,30,10,15,75,5,20,0,20,10,0,10,5,80,20,60,25,575,1855
          Greek,75,10,25,15,10,15,30,10,15,160,10,15,5,25,35,5,5,0,10,10,10,15,510,915
          Gujarati,0,25,0,10,5,10,25,0,35,5,5,5,5,50,5,0,5,5,70,10,25,5,280,1640
          Hakka,0,0,0,0,0,10,5,0,0,0,0,5,0,20,0,0,0,0,10,5,0,0,60,170
          Hebrew,5,25,10,15,0,5,0,10,0,15,20,5,10,5,15,5,15,0,5,0,5,5,170,355
          Hindi,5,15,10,0,5,40,150,5,55,5,10,15,10,230,50,0,5,5,260,125,25,5,1010,6130
          Hungarian,0,10,10,10,5,5,5,0,15,20,20,5,5,15,15,0,5,0,5,15,25,0,185,930
          Ilocano,0,5,0,0,5,15,65,0,10,0,15,20,0,60,15,0,0,0,60,10,0,0,290,600
"          Indo-Iranian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,70
          Italian,5,15,10,15,165,400,120,5,35,25,10,5,5,195,25,5,5,10,20,60,25,5,1150,2550
          Japanese,55,320,55,145,40,80,80,45,60,115,105,75,40,165,45,25,30,5,45,50,505,30,2115,4735
          Khmer (Cambodian),0,0,0,5,5,5,20,0,5,0,5,5,0,15,5,0,0,5,10,10,0,0,90,295
          Korean,225,755,75,100,55,15,75,155,190,100,95,120,130,175,15,20,35,5,45,40,550,65,3035,18755
          Kurdish,0,10,0,0,5,10,10,0,25,5,5,5,0,5,0,0,0,10,10,10,5,5,110,445
          Lao,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,20,210
          Latvian,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,40
          Lingala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
          Lithuanian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,25
          Macedonian,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,20,55
          Malay,10,30,0,5,5,5,5,0,15,5,10,0,15,45,0,0,5,0,5,10,15,5,185,630
          Malayalam,0,0,0,5,0,0,5,0,15,0,0,0,0,10,0,0,0,0,70,5,0,5,100,300
          Maltese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
          Mandarin,1110,645,555,235,130,245,445,740,580,245,1135,85,790,920,260,365,165,200,300,425,220,355,10140,39710
          Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,100
          Nepali,0,0,0,0,0,0,10,0,0,5,5,0,0,0,0,0,0,0,10,5,0,0,35,220
"          Niger-Congo languages, n.i.e.",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,60
          Norwegian,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,40
          Oromo,0,0,0,0,5,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,5,0,15,70
          Panjabi (Punjabi),5,15,5,5,10,55,395,25,255,10,55,20,65,435,70,10,10,5,3335,570,5,5,5375,52490
          Pashto,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,35,0,0,0,45,260
          Persian (Farsi),40,955,20,80,15,40,15,25,35,75,60,10,25,30,15,20,15,5,40,20,395,50,1980,12220
          Polish,10,65,5,30,35,10,45,5,75,15,15,35,10,30,15,5,10,0,15,5,40,5,470,2685
          Portuguese,15,75,10,15,35,40,150,0,30,15,10,15,0,195,25,0,5,5,35,35,85,5,800,1810
          Romanian,5,30,0,25,5,0,10,0,15,15,20,10,10,5,0,0,0,0,0,0,65,0,225,1805
          Rundi (Kirundi),0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,15,45
          Russian,20,300,15,65,20,15,20,5,75,80,105,35,40,40,20,10,10,5,15,10,225,20,1130,5190
          Rwanda (Kinyarwanda),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,15
"          Semitic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,235
          Serbian,10,235,10,75,10,15,10,10,35,45,25,20,0,35,5,5,5,0,0,5,130,0,685,1865
          Serbo-Croatian,0,45,5,25,0,0,0,0,5,0,5,0,0,5,5,0,0,0,0,0,30,0,125,280
          Shanghainese,5,5,0,5,5,10,5,0,15,5,10,0,5,20,5,0,0,0,10,0,0,0,105,290
"          Sign languages, n.i.e.",5,0,0,5,5,0,0,0,5,5,0,0,0,5,0,0,0,5,5,5,0,0,40,205
          Sindhi,0,10,0,10,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,45,375
          Sinhala (Sinhalese),0,5,0,0,0,5,10,0,0,0,0,5,0,5,5,0,0,0,5,0,0,0,35,265
"          Sino-Tibetan languages, n.i.e.",0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,30,300
"          Slavic languages, n.i.e.",0,5,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,35
          Slovak,0,15,0,5,5,0,0,0,0,5,5,5,0,0,0,0,0,5,0,0,20,0,65,460
          Slovenian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,40
          Somali,0,0,0,0,0,5,10,0,0,0,0,5,0,10,0,0,0,0,5,0,0,0,35,305
          Spanish,30,340,25,120,160,205,195,15,200,145,50,125,30,240,40,15,35,40,210,140,295,30,2680,8760
          Swahili,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,105
          Swedish,0,10,5,5,0,0,0,5,0,5,0,5,0,0,5,5,0,5,0,0,10,5,60,135
"          Tagalog (Pilipino, Filipino)",20,45,15,35,125,225,970,20,265,10,295,430,35,1140,330,10,10,10,940,465,55,5,5460,15110
          Taiwanese,30,25,45,15,5,10,5,30,25,5,60,0,50,10,20,35,10,0,15,10,10,15,400,1470
          Tamil,0,5,0,0,10,0,80,0,20,0,20,10,5,55,30,5,5,0,205,35,5,0,485,910
          Telugu,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,15,125
          Thai,5,20,0,5,10,0,0,0,5,5,10,10,0,10,15,5,0,0,5,5,30,5,145,365
          Tibetan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,40
          Tigrigna,0,0,0,0,0,0,0,0,0,0,5,5,0,10,0,0,0,0,5,0,0,0,35,140
          Turkish,5,40,5,5,0,5,0,5,15,15,5,0,5,5,5,0,0,0,10,0,50,5,175,590
          Ukrainian,0,5,0,10,0,0,0,0,5,5,10,0,5,5,5,0,5,0,5,5,10,5,80,390
          Urdu,0,15,0,5,10,15,10,0,5,0,5,0,0,20,0,0,0,0,100,15,0,0,205,2535
          Vietnamese,5,25,5,10,175,530,970,5,215,5,35,160,20,830,110,10,5,160,295,370,15,5,3955,7915
          Yiddish,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
        Other languages,5,25,0,10,20,15,40,0,15,5,10,20,0,35,10,0,0,10,35,35,30,0,330,1095
    Multiple responses,425,1070,365,485,500,1280,1990,330,1170,480,965,645,480,2775,665,175,145,170,2220,1485,770,185,18775,69460
      English and French,5,40,20,30,20,10,25,5,10,40,15,25,5,20,20,10,10,10,10,15,45,10,415,1355
      English and non-official language,410,990,335,435,465,1240,1930,320,1140,420,940,605,455,2730,640,165,135,160,2185,1435,690,165,17975,66775
      French and non-official language,5,15,0,5,10,10,10,5,5,0,5,10,0,10,0,0,0,0,10,5,20,5,125,375
"      English, French and non-official language",5,25,5,15,5,20,20,0,15,20,10,10,10,15,10,0,5,0,20,25,15,5,255,955
Detailed other language spoken regularly at home - Total population excluding institutional residents,15660,53270,21650,30690,27205,33700,47185,14725,28190,41175,23365,26150,12345,50240,21745,8515,7395,10705,36120,30110,44350,12795,595720,2292120
  None,11575,40885,17885,25920,22895,25070,34450,11370,19885,35250,16365,21800,8315,34580,17015,6680,5810,9080,23880,20755,35615,10565,454215,1813085
  Single responses,4035,12020,3690,4640,4210,8530,12580,3295,8170,5755,6875,4235,3940,15440,4630,1795,1555,1580,12040,9235,8460,2180,138730,470395
    English,2070,4580,1345,1435,1340,3530,5650,1465,3715,1570,3405,1340,1875,7260,1695,665,555,520,6165,4555,2830,800,58320,211820
    French,135,670,320,495,465,315,485,150,160,840,175,380,55,255,330,95,130,160,190,95,720,220,6820,18930
    Non-official languages,1825,6765,2025,2705,2400,4685,6445,1680,4295,3345,3300,2515,2010,7930,2600,1030,875,900,5685,4590,4915,1160,73595,239645
      Selected Aboriginal languages,0,15,0,0,25,0,10,0,5,0,5,20,0,10,0,0,0,15,5,0,0,0,105,200
        Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Cree, n.o.s.",0,15,0,0,10,5,5,0,5,5,0,10,0,5,0,0,0,10,0,5,0,0,80,145
        Dene,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
        Innu/Montagnais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Inuktitut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
        Mi'kmaq,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
        Ojibway,0,5,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,35
        Oji-Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Stoney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
      Selected non-Aboriginal languages,1815,6695,1995,2675,2285,4645,6355,1675,4250,3290,3270,2450,1995,7830,2570,1030,870,855,5650,4550,4840,1145,72660,236710
"        African languages, n.i.e.",0,5,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,5,0,25,215
        Afrikaans,5,25,5,15,0,10,0,5,0,10,0,5,0,10,5,0,5,0,5,0,15,10,130,685
        Akan (Twi),0,0,0,5,5,0,5,5,5,0,0,0,0,5,0,0,0,0,5,0,0,0,35,210
        Albanian,0,5,5,10,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,0,10,0,45,325
        Amharic,0,20,0,5,5,0,10,0,10,5,0,5,0,10,0,0,0,5,0,5,15,0,110,380
        Arabic,10,255,15,30,10,20,30,15,20,20,20,20,5,50,10,15,5,5,30,5,140,10,735,3130
        Armenian,0,10,5,5,0,5,5,0,0,5,0,5,0,10,0,5,0,0,0,0,15,5,75,290
"        Bantu languages, n.i.e.",0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,35,145
        Bengali,0,20,0,5,5,10,5,5,5,5,10,20,5,15,10,0,0,0,50,10,10,5,185,480
        Berber languages (Kabyle),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
        Bisayan languages,0,10,0,5,0,10,55,0,10,5,10,15,0,30,10,0,0,0,30,10,5,0,220,740
        Bosnian,0,15,0,5,5,5,5,0,0,10,5,5,0,10,0,5,0,0,5,0,10,0,80,330
        Bulgarian,0,45,0,15,10,5,0,0,0,10,5,15,5,5,0,0,0,5,0,0,30,0,150,405
        Burmese,0,0,5,5,0,15,15,0,10,5,0,5,5,25,0,0,0,0,0,5,5,0,90,220
        Cantonese,360,690,340,285,360,1445,1460,380,1115,245,745,250,550,1945,515,150,165,235,840,1600,185,115,13955,27690
"        Chinese, n.o.s.",280,395,275,150,150,565,725,290,595,150,450,105,415,1000,270,170,105,80,415,780,180,90,7635,18580
        Creoles,5,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,40,355
        Croatian,5,50,10,35,35,55,20,5,25,35,0,20,0,60,15,5,10,0,15,35,50,10,505,2355
        Czech,5,45,10,20,15,20,15,5,0,35,15,20,5,5,5,5,5,5,5,5,70,15,330,1250
        Danish,0,15,15,15,20,5,10,5,5,20,5,15,0,5,10,5,0,0,0,5,10,5,160,820
        Dutch,10,45,25,35,10,10,20,10,15,70,15,30,5,15,20,10,5,10,5,5,65,20,455,2570
        Estonian,0,5,5,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,30,155
        Finnish,5,5,5,20,5,5,10,5,15,15,10,5,0,5,0,0,0,5,0,5,25,5,140,675
        Flemish,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,10,55
        Fukien,5,15,10,5,0,10,20,5,20,0,15,0,25,20,10,0,5,0,5,10,5,0,190,655
        German,50,240,160,170,145,70,165,50,80,375,50,155,35,85,120,45,25,35,145,65,320,135,2740,9705
        Greek,135,55,90,50,40,30,45,20,45,255,40,50,15,60,75,25,25,5,15,10,40,45,1165,2705
        Gujarati,10,70,15,15,5,5,15,10,15,15,10,10,10,40,10,5,10,0,30,5,40,20,355,2995
        Hakka,5,5,5,0,0,5,5,5,5,5,10,5,5,45,0,5,0,5,10,5,0,0,140,305
        Hebrew,15,50,40,40,15,5,20,20,5,55,10,30,30,5,40,35,35,5,15,5,25,15,510,910
        Hindi,25,130,15,40,40,65,260,25,110,45,40,35,30,340,60,10,15,5,505,195,75,10,2070,11660
        Hungarian,5,50,25,40,25,10,25,10,20,45,15,20,10,20,15,5,5,10,10,10,50,10,435,1785
        Ilocano,0,5,0,0,5,15,80,0,15,0,15,30,0,85,20,0,5,0,80,25,5,0,380,820
"        Indo-Iranian languages, n.i.e.",0,0,0,0,5,0,5,0,5,5,0,0,0,5,0,0,0,0,10,5,10,0,40,155
        Italian,50,145,40,75,170,450,125,25,45,125,20,60,15,260,30,25,15,20,40,65,100,25,1920,6655
        Japanese,50,395,90,205,115,95,160,65,100,225,115,155,35,190,115,40,65,25,40,55,460,70,2865,6865
        Khmer (Cambodian),0,0,0,5,0,10,25,0,5,0,0,5,0,10,0,0,0,5,10,0,0,0,75,285
        Korean,60,400,40,75,30,30,60,55,55,70,35,65,40,85,30,10,20,10,15,20,295,30,1540,6030
        Kurdish,0,5,0,0,5,10,15,0,5,0,0,15,0,5,0,0,0,0,10,0,10,0,85,265
        Lao,0,5,0,0,5,0,5,0,5,5,0,5,0,5,0,0,0,0,0,10,5,0,40,305
        Latvian,0,0,0,5,0,0,5,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,30,65
        Lingala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,50
        Lithuanian,0,5,0,5,0,0,0,0,5,5,0,5,0,0,0,0,0,0,5,0,5,0,30,75
        Macedonian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40
        Malay,5,75,10,20,10,5,25,10,30,10,20,10,10,60,5,5,15,5,10,10,35,5,385,1270
        Malayalam,5,10,0,0,0,5,5,0,0,10,0,0,0,20,0,0,0,0,25,15,5,5,95,440
        Maltese,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40
        Mandarin,340,450,260,185,90,255,320,310,360,185,520,85,300,540,220,155,100,100,200,300,220,125,5625,16745
        Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,25,110
        Nepali,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,15,120
"        Niger-Congo languages, n.i.e.",0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20,200
        Norwegian,5,10,15,5,0,0,0,5,5,15,0,0,0,0,0,5,0,5,0,0,5,0,85,330
        Oromo,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,40
        Panjabi (Punjabi),45,220,30,65,25,55,300,30,230,65,105,35,75,330,95,30,15,0,1455,355,70,15,3650,26855
        Pashto,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,25,205
        Persian (Farsi),30,675,25,90,40,45,30,30,25,80,30,50,10,35,20,10,5,10,20,10,245,35,1545,6515
        Polish,5,135,20,85,35,25,60,10,75,70,20,60,10,35,25,15,15,10,20,20,120,20,905,3990
        Portuguese,15,150,20,40,75,85,160,10,65,65,20,40,0,240,35,0,20,10,30,50,145,15,1290,3580
        Romanian,15,50,5,35,15,0,5,0,20,35,40,20,5,10,20,0,0,5,10,0,60,5,360,1955
        Rundi (Kirundi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,35
        Russian,10,225,15,65,30,25,45,15,55,75,95,40,5,35,20,15,10,15,25,10,180,20,1035,3470
        Rwanda (Kinyarwanda),0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,10,25
"        Semitic languages, n.i.e.",0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,155
        Serbian,5,115,15,40,15,30,20,5,20,50,15,10,0,40,10,0,0,0,10,5,95,10,505,1595
        Serbo-Croatian,5,30,0,15,10,5,5,0,10,10,0,10,5,0,0,0,5,0,0,0,25,0,125,355
        Shanghainese,10,10,5,5,5,20,5,10,5,0,5,0,15,15,5,5,0,10,5,10,10,0,165,470
"        Sign languages, n.i.e.",0,0,0,5,0,5,0,0,5,0,0,0,5,5,0,0,0,0,5,0,0,0,45,340
        Sindhi,5,25,5,5,0,5,10,5,5,0,0,0,5,5,0,5,5,0,5,5,20,5,120,890
        Sinhala (Sinhalese),0,0,5,0,0,0,10,0,5,0,0,5,5,5,0,0,0,0,15,0,5,5,70,505
"        Sino-Tibetan languages, n.i.e.",0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,55
"        Slavic languages, n.i.e.",0,0,0,5,5,5,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,25,90
        Slovak,0,35,5,5,5,0,5,0,15,20,5,15,0,5,5,0,0,5,0,0,50,10,180,760
        Slovenian,5,5,5,0,5,0,0,0,5,5,0,5,5,5,0,0,0,0,5,0,10,5,50,165
        Somali,0,5,0,0,5,0,0,0,0,0,0,5,0,15,0,0,0,0,10,5,0,0,50,325
        Spanish,80,650,145,320,300,330,355,70,290,450,155,285,65,285,165,50,65,80,165,130,710,115,5260,14470
        Swahili,5,10,5,0,5,5,5,0,0,0,5,5,0,5,0,0,5,0,15,0,5,0,80,425
        Swedish,5,35,10,20,10,5,5,5,5,35,0,20,0,5,10,5,5,0,0,0,40,5,220,670
"        Tagalog (Pilipino, Filipino)",60,225,85,170,185,340,960,100,400,80,330,400,75,1045,345,65,50,20,820,365,245,35,6385,21495
        Taiwanese,40,35,40,20,5,10,10,45,40,20,105,5,85,25,35,60,25,0,30,15,15,20,680,2585
        Tamil,0,5,5,0,5,5,45,0,15,5,10,20,5,15,20,5,0,5,95,20,20,5,290,815
        Telugu,0,10,0,0,0,0,5,0,5,5,0,0,0,5,0,0,0,0,0,10,0,0,40,160
        Thai,10,35,5,5,15,15,20,0,10,15,15,10,0,15,10,5,5,0,5,5,50,5,255,670
        Tibetan languages,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,35
        Tigrigna,0,0,0,0,5,0,0,0,5,0,0,5,0,5,0,0,0,0,5,0,0,5,35,160
        Turkish,5,65,5,15,5,5,5,5,0,25,15,15,5,10,0,0,0,5,5,0,75,5,280,895
        Ukrainian,5,30,10,30,15,20,15,5,10,20,5,10,5,10,5,0,0,0,5,0,40,0,245,965
        Urdu,5,20,0,5,0,10,15,5,15,10,5,5,10,5,5,5,0,5,45,10,25,5,195,2165
        Vietnamese,10,85,5,10,110,310,445,5,145,15,25,85,20,510,80,5,10,70,200,225,25,0,2400,5085
        Yiddish,5,0,0,5,0,5,5,0,0,0,0,5,10,5,0,0,0,5,0,0,0,5,45,75
      Other languages,15,55,25,35,90,35,80,5,45,50,20,50,15,90,35,5,5,35,35,40,70,15,830,2730
  Multiple responses,55,365,75,130,105,105,160,60,140,170,125,115,85,220,100,45,30,45,200,120,275,50,2775,8630
    English and French,5,40,0,20,10,10,20,0,20,10,15,10,0,10,5,5,5,0,15,5,25,5,240,890
    English and non-official language,35,95,30,45,25,35,85,35,65,30,70,40,60,140,35,25,10,10,125,65,70,15,1145,3990
    French and non-official language,20,225,40,70,70,55,60,25,55,130,35,65,30,70,55,15,15,35,60,45,170,30,1380,3690
"    English, French and non-official language",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,60
  Detailed other language spoken regularly at home - Males excluding institutional residents,7130,28620,10490,13660,13260,16535,23090,6885,13305,19235,11400,12810,5700,24520,10385,4070,3500,6010,17770,14520,23260,6095,291505,1121310
    None,5280,22520,8770,11645,11180,12325,17045,5380,9425,16680,8105,10860,3810,16985,8215,3250,2765,5135,11780,9980,18870,5105,224420,892790
    Single responses,1835,5930,1690,1970,2035,4155,5970,1475,3825,2490,3235,1900,1850,7430,2120,805,720,850,5880,4485,4250,965,65795,224500
      English,975,2255,650,625,640,1760,2720,670,1780,690,1615,605,885,3495,765,325,260,265,3080,2240,1420,380,28070,103680
      French,60,350,135,230,215,145,230,60,65,380,80,180,25,120,155,35,65,95,90,45,405,100,3270,8650
      Non-official languages,800,3325,905,1110,1170,2250,3020,745,1980,1415,1540,1115,930,3810,1205,450,395,490,2710,2195,2425,490,34455,112175
        Selected Aboriginal languages,0,10,0,0,10,0,0,0,0,0,5,10,0,0,0,0,0,5,0,0,5,0,50,90
          Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Cree, n.o.s.",0,5,0,0,10,5,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,40,70
          Dene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
          Innu/Montagnais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuktitut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
          Mi'kmaq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
          Ojibway,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,15
          Oji-Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Stoney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Selected non-Aboriginal languages,795,3285,895,1090,1115,2235,2985,745,1960,1390,1530,1080,925,3770,1185,450,395,470,2690,2185,2395,480,34015,110840
"          African languages, n.i.e.",0,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,15,125
          Afrikaans,5,10,5,5,0,5,0,5,0,5,0,5,0,5,0,0,5,0,5,0,15,5,65,330
          Akan (Twi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,110
          Albanian,0,5,0,5,0,5,5,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,25,155
          Amharic,0,10,0,5,5,0,5,0,5,0,0,5,0,10,0,0,0,0,5,0,5,0,60,185
          Arabic,5,190,10,15,10,15,15,10,15,15,15,15,0,30,10,10,5,5,15,5,100,10,505,1810
          Armenian,0,5,5,0,0,5,0,5,0,0,5,0,0,0,5,0,0,0,0,0,5,5,40,145
"          Bantu languages, n.i.e.",0,0,0,0,0,5,5,5,0,0,0,5,0,0,0,0,0,5,0,0,5,0,20,65
          Bengali,0,0,0,0,0,0,5,0,5,5,5,10,5,10,5,0,0,0,25,5,5,5,95,230
          Berber languages (Kabyle),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Bisayan languages,0,0,0,0,5,5,20,0,10,0,0,5,0,5,0,0,0,0,15,5,0,0,75,300
          Bosnian,0,5,0,0,0,5,5,0,0,5,0,0,0,5,0,5,0,0,0,5,5,0,35,165
          Bulgarian,0,15,0,5,0,0,5,0,0,5,0,5,5,5,0,0,0,0,5,0,15,0,65,180
          Burmese,0,0,0,0,0,5,5,0,5,0,0,5,5,15,0,0,0,0,0,0,0,0,50,100
          Cantonese,165,310,160,115,190,710,735,175,525,95,360,105,260,975,270,75,70,115,395,785,80,40,6710,13225
"          Chinese, n.o.s.",125,170,130,60,75,295,365,130,285,60,225,60,195,510,145,75,55,40,200,380,80,35,3700,8865
          Creoles,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20,175
          Croatian,0,20,5,10,15,25,10,5,10,20,0,15,0,25,5,0,0,0,5,15,20,5,235,1190
          Czech,0,20,5,15,5,10,5,5,0,15,10,10,5,0,5,5,0,5,0,5,35,5,155,565
          Danish,0,10,5,10,5,0,5,0,0,10,5,5,0,0,5,0,0,0,0,5,5,0,80,375
          Dutch,5,25,10,20,5,5,5,5,5,40,5,10,5,5,10,5,5,5,5,0,30,10,220,1125
          Estonian,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,75
          Finnish,0,5,0,5,0,5,5,0,5,10,0,5,0,0,0,0,0,0,0,0,10,0,45,270
          Flemish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25
