A,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
          Bengali,0,10,5,5,0,25,20,5,10,5,30,50,10,30,5,0,5,10,145,30,15,5,420,995
          Berber languages (Kabyle),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
          Bisayan languages,0,20,5,20,15,25,115,10,45,5,40,65,5,110,30,0,0,0,70,50,15,0,650,1945
          Bosnian,0,20,0,5,5,5,0,0,5,10,15,0,5,15,0,0,0,0,0,0,15,5,110,540
          Bulgarian,5,75,5,30,5,5,5,0,0,20,10,20,5,10,0,0,0,5,5,5,60,5,260,855
          Burmese,5,5,0,0,0,25,35,5,10,0,0,10,5,35,0,0,0,0,20,5,0,0,160,425
          Cantonese,790,1170,565,535,940,3760,4245,715,2645,400,1715,520,1160,5370,1150,300,305,1060,1980,4215,290,230,34050,68750
"          Chinese, n.o.s.",1110,1200,720,430,570,1935,2450,835,1725,410,1615,315,1205,3230,745,430,230,580,1185,2520,395,320,24150,59775
          Creoles,5,0,0,0,5,0,10,0,5,0,0,0,0,5,5,0,0,0,5,0,0,0,35,250
          Croatian,15,70,15,45,45,80,25,5,30,50,15,20,10,80,20,5,10,10,10,50,65,10,680,2920
          Czech,5,50,10,40,20,10,5,10,10,45,15,40,5,10,10,5,5,0,10,10,90,15,420,1755
          Danish,5,20,15,20,10,5,15,10,10,30,10,10,5,0,5,10,0,0,5,5,35,10,235,1205
          Dutch,20,55,40,50,25,15,25,20,25,95,20,45,5,25,50,10,10,10,15,15,85,30,670,4315
          Estonian,5,5,5,5,0,0,0,0,0,15,0,5,0,0,5,5,0,0,0,0,10,10,75,305
          Finnish,5,20,5,30,10,5,15,5,20,30,10,10,0,20,5,0,5,0,0,10,35,10,260,1230
          Flemish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,95
          Fukien,5,25,10,10,10,15,35,10,20,5,25,5,20,35,15,5,10,5,10,20,5,0,305,1035
          German,95,260,190,295,140,80,200,75,130,420,90,155,50,125,130,50,40,25,265,120,400,145,3460,14180
          Greek,140,45,75,40,25,30,45,20,45,300,30,35,10,55,70,20,15,0,25,10,25,40,1110,2380
          Gujarati,10,45,5,30,5,10,35,0,50,25,5,10,5,70,10,10,5,0,125,15,45,10,530,3320
          Hakka,5,5,5,0,10,15,25,10,20,5,15,5,5,55,5,0,5,0,15,5,5,5,225,610
          Hebrew,10,35,30,20,10,0,5,30,5,50,25,20,10,5,45,10,25,5,10,5,10,15,365,690
          Hindi,20,65,15,20,20,75,270,15,115,35,40,25,30,410,95,10,5,10,450,245,45,15,2045,11945
          Hungarian,10,60,40,60,30,20,35,10,45,80,55,35,15,25,20,0,15,5,15,20,90,15,700,2985
          Ilocano,0,10,0,0,20,40,195,10,40,10,60,75,0,180,40,5,5,0,185,45,10,0,920,2025
"          Indo-Iranian languages, n.i.e.",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,25,170
          Italian,40,95,40,80,280,780,215,25,80,120,35,50,15,385,55,25,15,15,50,140,90,20,2625,8015
          Japanese,95,630,115,325,125,155,205,80,150,310,205,205,80,310,130,50,70,15,90,115,935,95,4490,10290
          Khmer (Cambodian),5,0,0,5,5,20,35,0,5,5,5,10,0,35,10,0,0,10,25,15,5,0,180,605
          Korean,290,1110,120,200,90,45,140,190,230,190,135,180,175,270,45,40,55,10,60,60,810,90,4525,23890
          Kurdish,0,10,5,0,0,15,15,0,30,5,5,10,0,10,5,0,0,15,15,10,15,5,175,635
          Lao,0,5,0,0,0,5,5,0,5,5,0,5,0,5,5,0,5,5,5,5,0,0,55,445
          Latvian,0,5,5,5,5,0,5,5,0,15,0,0,0,5,0,0,0,0,5,5,10,5,80,175
          Lingala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
          Lithuanian,0,5,0,5,0,0,5,0,5,10,0,0,0,5,0,0,0,0,5,0,5,0,50,150
          Macedonian,0,10,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,35,100
          Malay,15,90,10,20,15,10,20,10,35,15,35,5,25,80,10,5,15,0,15,20,40,10,495,1730
          Malayalam,0,10,0,0,0,0,5,0,15,5,0,0,0,15,0,0,0,0,85,20,0,5,165,620
          Maltese,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,40
          Mandarin,1240,975,680,375,170,370,590,895,745,370,1380,175,955,1150,350,440,205,210,350,570,390,390,12960,48240
          Marathi,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,30,190
          Nepali,0,0,0,5,0,0,15,0,0,0,5,5,0,5,5,0,5,0,15,5,0,0,50,330
"          Niger-Congo languages, n.i.e.",0,0,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,25,145
          Norwegian,5,10,15,5,5,0,5,5,0,20,5,0,0,5,5,5,0,5,5,0,5,10,110,535
          Oromo,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,5,5,5,0,0,30,95
          Panjabi (Punjabi),20,140,30,55,30,115,585,55,395,65,120,45,105,645,130,25,20,5,4305,780,45,15,7745,70085
          Pashto,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,40,0,0,0,50,380
          Persian (Farsi),60,1405,35,150,35,60,30,40,55,135,80,35,30,50,20,25,25,10,50,25,570,65,2990,17000
          Polish,25,185,35,125,70,35,90,25,140,130,40,105,30,65,50,15,20,5,30,25,180,30,1455,6660
          Portuguese,20,175,30,55,90,105,260,5,70,80,30,45,5,355,50,5,20,10,55,80,170,20,1730,4800
          Romanian,15,85,10,60,15,10,20,10,30,60,55,30,25,20,20,0,5,5,20,5,130,5,625,3490
          Rundi (Kirundi),0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,10,5,5,0,0,25,75
          Russian,30,500,35,115,55,40,45,35,130,160,160,75,50,65,45,15,30,15,35,20,380,40,2070,8285
          Rwanda (Kinyarwanda),0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,10,35
"          Semitic languages, n.i.e.",0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,20,335
          Serbian,15,330,15,115,20,35,20,15,45,70,35,25,5,60,10,0,15,5,10,5,210,5,1060,2915
          Serbo-Croatian,5,75,5,30,5,0,5,0,10,15,10,10,5,10,5,0,0,0,0,0,55,0,250,640
          Shanghainese,15,25,0,10,15,15,10,5,25,5,20,5,25,35,10,5,5,5,15,15,15,0,275,700
"          Sign languages, n.i.e.",0,0,0,0,5,0,5,0,0,0,0,0,0,10,5,0,0,0,5,0,0,0,30,150
          Sindhi,5,35,0,15,0,0,0,0,10,5,0,10,0,10,5,5,0,0,0,0,20,5,135,940
          Sinhala (Sinhalese),5,10,5,0,0,10,15,0,5,0,5,5,0,10,5,5,0,0,15,10,5,0,100,600
"          Sino-Tibetan languages, n.i.e.",0,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,35,360
"          Slavic languages, n.i.e.",0,10,0,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,40,135
          Slovak,5,55,5,20,5,0,10,0,10,30,5,10,5,10,5,5,0,0,0,5,75,5,270,1300
          Slovenian,5,5,0,5,5,0,5,0,0,5,0,10,0,5,5,0,5,0,5,5,10,5,70,310
          Somali,0,5,0,5,10,5,5,0,0,0,0,5,0,15,0,0,0,0,5,5,5,0,60,450
          Spanish,75,665,75,285,265,370,355,60,350,360,145,245,75,410,105,45,75,75,305,220,635,75,5275,16730
          Swahili,0,5,0,5,5,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,5,0,50,280
          Swedish,5,35,5,30,10,5,5,5,5,20,5,15,5,10,5,10,0,5,0,5,40,5,235,790
"          Tagalog (Pilipino, Filipino)",105,260,135,180,295,545,1815,130,615,130,560,765,130,2195,650,115,55,30,1650,810,260,75,11505,34995
          Taiwanese,60,45,70,30,5,15,10,70,50,20,110,5,95,30,40,70,20,0,45,25,25,40,880,2915
          Tamil,0,10,5,5,10,5,110,5,20,5,25,20,5,70,35,5,0,5,230,45,10,0,635,1385
          Telugu,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,40,220
          Thai,15,55,5,10,25,10,30,10,10,20,25,15,5,40,25,10,5,5,15,10,75,10,410,1100
          Tibetan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,15,75
          Tigrigna,0,5,0,0,5,5,0,0,5,0,0,15,0,10,0,0,0,0,10,5,0,0,60,265
          Turkish,5,65,10,20,10,10,5,5,25,35,5,15,5,10,5,0,0,0,15,0,90,10,340,1105
          Ukrainian,20,45,15,65,20,25,20,10,35,40,25,20,15,25,25,5,10,5,10,15,55,15,535,2455
          Urdu,5,25,0,5,10,20,20,10,10,5,10,5,5,15,5,0,0,0,135,20,20,0,325,3805
