road_id,vertex_num,x,y
R_4,7,3139972.750,10093391.000
R_4,8,3140091.500,10093395.000
R_4,9,3141564.250,10093552.000
R_40,1,3131645.000,10082117.000
R_40,2,3131991.000,10082842.000
R_40,3,3132227.500,10083165.000
R_40,4,3132476.000,10083448.000
R_40,5,3132874.500,10083889.000
R_40,6,3133246.500,10084315.000
R_40,7,3133402.500,10084488.000
R_40,8,3133778.000,10085186.000
R_40,9,3133948.500,10085525.000
R_40,10,3134282.250,10085720.000
R_40,11,3134705.000,10085758.000
R_40,12,3134935.000,10085787.000
R_40,13,3135007.750,10085796.000
R_40,14,3135689.750,10085782.000
R_40,15,3135848.250,10085777.000
R_40,16,3135984.500,10085787.000
R_40,17,3136301.500,10085878.000
R_40,18,3136695.500,10086003.000
R_40,19,3137147.000,10086152.000
R_41,1,3137228.750,10086181.000
R_41,2,3137560.250,10086392.000
R_41,3,3137810.000,10086604.000
R_42,1,3137810.000,10086604.000
R_42,2,3137978.000,10086805.000
R_42,3,3138160.500,10087137.000
R_42,4,3138319.250,10087454.000
R_42,5,3138471.500,10087699.000
R_42,6,3138515.000,10087786.000
R_42,7,3138763.500,10088286.000
R_42,8,3138906.000,10088512.000
R_42,9,3139001.250,10088733.000
R_42,10,3139057.500,10088845.000
R_43,1,3139057.500,10088845.000
R_43,2,3139155.000,10089044.000
R_43,3,3139260.500,10089168.000
R_43,4,3139270.250,10089217.000
R_43,5,3139390.250,10089423.000
R_43,6,3139573.000,10089769.000
R_43,7,3139726.750,10090024.000
R_44,1,3136303.447,10078088.000
R_44,2,3136335.500,10078092.000
R_44,3,3136383.692,10078088.000
R_45,1,3139726.750,10090024.000
R_45,2,3140053.250,10090672.000
R_45,3,3140221.500,10090984.000
R_45,4,3140244.000,10091019.000
R_45,5,3140725.750,10091935.000
R_45,6,3141416.500,10093267.000
R_45,7,3141517.500,10093461.000
R_45,8,3141564.250,10093552.000
R_46,1,3141564.250,10093552.000
R_46,2,3141631.500,10093797.000
R_46,3,3141695.500,10094044.000
R_46,4,3142000.500,10094866.000
R_46,5,3142126.500,10095206.000
R_46,6,3142247.500,10095555.000
R_46,7,3142377.500,10095899.000
R_46,8,3142517.500,10096259.000
R_47,1,3133370.397,10078088.000
R_47,2,3133812.750,10078924.000
R_47,3,3133966.750,10079220.000
R_47,4,3134130.500,10079518.000
R_47,5,3134618.500,10080522.000
R_48,1,3134618.500,10080522.000
R_48,2,3135303.500,10081851.000
R_48,3,3135658.500,10082533.000
R_48,4,3135994.250,10083111.000
R_48,5,3136858.750,10084831.000
R_48,6,3136911.750,10085023.000
R_48,7,3136964.500,10085234.000
R_48,8,3137228.750,10086181.000
R_5,1,3141564.250,10093552.000
R_5,2,3141898.000,10093593.000
R_5,3,3143602.500,10093771.000
R_5,4,3143920.750,10093809.000
R_5,5,3144721.000,10093893.214
R_6,1,3137810.000,10086604.000
R_6,2,3138146.250,10086181.000
R_6,3,3138276.000,10085777.000
R_6,4,3138357.500,10085494.000
R_6,5,3138444.000,10085225.000
R_6,6,3138549.750,10084869.000
R_6,7,3138674.500,10084759.000
R_6,8,3139275.000,10084432.000
R_6,9,3139467.250,10084086.000
R_6,10,3139664.250,10083947.000
R_6,11,3139797.000,10083936.000
R_6,12,3139876.250,10083930.000
R_7,1,3138708.650,10078088.000
R_7,2,3138742.250,10078256.000
R_7,3,3138943.750,10079263.000
R_7,4,3139127.500,10080157.000
R_8,1,3139127.500,10080157.000
R_8,2,3139443.500,10081696.000
R_8,3,3139833.500,10083573.000
R_8,4,3139876.250,10083930.000
R_9,1,3139876.250,10083930.000
R_9,2,3139902.500,10084450.000
R_9,3,3139897.750,10084844.000
R_9,4,3139846.750,10085343.000
R_9,5,3139789.000,10085708.000
R_9,6,3139670.750,10086273.000
R_9,7,3139633.500,10086451.000
R_9,8,3139354.500,10087653.000
R_9,9,3139348.500,10087681.000
R_9,10,3139191.250,10088415.000
R_9,11,3139097.250,10088738.000
R_9,12,3139057.500,10088845.000
